NodeID,birthday;anonymized-circle2,education;concentration;id;anonymized-circle2,education;school;id;anonymized-circle2,education;type;anonymized-circle2,education;year;id;anonymized-circle2,first_name;anonymized-circle2,gender;anonymized-circle2,hometown;id;anonymized-circle2,last_name;anonymized-circle2,locale;anonymized-circle2,location;id;anonymized-circle2,name;anonymized-circle2
649, ,15,44-52,54, , ,78, , , ,128, 
558, ,14,228-232-52,54-55, , , ,84, ,127, , 
594,2, ,52,54,66, , , , ,127, , 
173, ,14,52,55,66, , , , , ,129, 
428, ,14,230-52,54-55,257, , , , ,127, , 
427, , ,52,54-55,71, , , , ,127, , 
604, ,14,228-52,54-55,65-66, , ,84, ,127, , 
567,211, ,228-52,54-55, , ,77, , ,127, , 
607,,,,,,,,,,,,
107, , ,52,54, , ,78, , ,127, , 
348, , ,228-232-52,54-55, , ,78, ,110, ,128, 
563, , ,228-52,54, , , ,84, ,127, , 
667, , , , , , ,77, , , , , 
