NodeID,birthday;anonymized-circle1,education;concentration;id;anonymized-circle1,education;school;id;anonymized-circle1,education;type;anonymized-circle1,education;year;id;anonymized-circle1,first_name;anonymized-circle1,gender;anonymized-circle1,hometown;id;anonymized-circle1,last_name;anonymized-circle1,locale;anonymized-circle1,location;id;anonymized-circle1,name;anonymized-circle1
378,1, ,52,54-55,64, , , , ,278, , 
412,209, , , , , , , , ,127, , 
513, , , , , , ,78, , ,127, , 
475, , ,228-232-52,54-55, , , ,84,110, ,128, 
438, ,15-216,232-52,54-55,254-255, , ,84, ,127, , 
669, , , , , , ,78, , ,127, , 
553,211, ,232-248-52,54-55,62-259, , , , ,127, , 
373, ,216,52,54-55, , , , ,324, , , 
514, , ,228-232-52,54-55,257, , ,84,110, ,128, 
558, ,14,228-232-52,54-55, , , ,84, ,127, , 
651, , , , , , ,78, , ,127, , 
431, , , , , , ,78, , ,127, , 
683, , , , , , ,78, , , , , 
614, ,15,52,54, ,323, ,84,327, ,128, 
461, , ,52, , , ,77, , , , , 
506,208, , ,53, , , ,128, , , , 
544, ,15,228-232-52,54-55,65-258, , , ,273, ,129, 
668,,,,,,,,,,,,
363, , ,230-232-52,54-55, , , ,84, , ,128, 
400,0, ,228-52,54-55,64-67, , ,84, , ,128, 
542,1, ,226-52,54,62, , ,263, , ,128, 
637, , , , , , ,78, , , , , 
391,1, , ,54, , , , ,110, ,128, 
566,3, ,52,54-55, , , , , ,127, , 
559, , ,228-52,54-55, , , ,128, , , , 
395, ,15,229-248-52,54-55,255-61-66, , , , ,127, , 
428, ,14,230-52,54-55,257, , , , ,127, , 
500,0, , , , , , , ,275, , , 
606, , ,317-52,54-55,65-66, , ,298, ,127, , 
604, ,14,228-52,54-55,65-66, , ,84, ,127, , 
591,209, ,230-317-52,54-55, , , ,298, , ,128, 
567,211, ,228-52,54-55, , ,77, , ,127, , 
607,,,,,,,,,,,,
374, ,15,232-233-52,54-55, , , , ,110, ,128, 
465, , , , , , ,78, , , , , 
580, , ,228-247-52,54-55, , , , ,273, ,128, 
496, ,15,232-52,54-55, , , , ,273, , , 
376, ,15,52,54-55,67, , , , ,127, , 
492, , , , , , ,77, , , , , 
370, ,15,232-248-52,54-55,259, , , ,275, , , 
524,0, , ,53-54-55,67, , , ,273, , , 
641, ,217,230-237-52,54-55,60-61, , , ,273, ,128, 
423, ,14,244-52,54-55,61-62-259, , , ,110, , , 
601,0, ,237-52,54-55, , , , , ,127, , 
394, ,15-312,226-52,54,60-62, , ,84,275, ,128, 
676,2, , ,53-54,259, , , , ,127, , 
107, , ,52,54, , ,78, , ,127, , 
348, , ,228-232-52,54-55, , ,78, ,110, ,128, 
515,1, ,232-248-52,54-55, , , ,84, , ,128, 
590, , ,228-229-322,54-55, , , ,84, ,127, , 
674,,,,,,,,,,,,
563, , ,228-52,54, , , ,84, ,127, , 
483, ,15,237-319-52,54-55,66, , ,84, , ,128, 
434, ,15,228-52,54-55,64, , ,84, ,278, , 
436, , , , , , ,78, , ,127, , 
561, , ,244-247,55, , ,78, , ,278, , 
556,0, ,228-52,54-55,60-62-67, , , , ,278, , 
