NodeID,birthday;anonymized-circle6,education;concentration;id;anonymized-circle6,education;school;id;anonymized-circle6,education;type;anonymized-circle6,education;year;id;anonymized-circle6,first_name;anonymized-circle6,gender;anonymized-circle6,hometown;id;anonymized-circle6,last_name;anonymized-circle6,locale;anonymized-circle6,location;id;anonymized-circle6,name;anonymized-circle6
622,1, ,319,55,61, , ,84, , ,84, 
631,1, , ,53-55, , ,78, , ,278, , 
621,209, , ,53-55,259, , , , ,278, , 
611,0, , ,53-55,67, , , , ,278, , 
596, , , , , , ,78, , ,278, , 
636,0, , ,53-55,67, , , , ,278, , 
584,2, ,237-247,55,71, , ,84, ,278, , 
680, , ,228-229,54-55, , ,78, , ,127, , 
625,1, ,319,55,67, , , ,328, , , 
619,0, ,320-321,54-55,254-257, , , , ,278, , 
620, , , , , , ,78, ,110, , , 
609,0, , ,54, , , ,84, ,127, , 
588, , ,228-237-247,54-55, , ,78, , ,278, , 
618,0, ,247,55, , , ,84, ,278, , 
573,0, ,318,55, , ,78, , ,278, , 
629,208, ,228-229,54-55,59-64-259, , ,84, , , , 
666,0, ,237,55, , , , , ,278, , 
603, ,312, ,53-54-55,64-67, , ,84, ,127, , 
597,0, , ,55, , ,78, , , ,84, 
637, , , , , , ,78, , , , , 
672, , , , , , ,77, , ,127, , 
612,0, ,230,54-55,62-67, , ,84, , ,84, 
602,,,,,,,,,,,,
589,0, ,237,55, , ,78, , , , , 
579,0, ,228-318-319,54-55,61-67, , ,84,273, , , 
639,2, ,233-237-247,54-55,71, , , ,110, , , 
664,0, ,237,55,257, , , , ,278, , 
678, , ,314-247-320,55,258, , ,84, , ,84, 
575, , ,318,54-55,67, , , , ,278, , 
685,0, ,229-321,54-55, , , , ,325, , , 
623, , , , , , ,77, , , , , 
644,0, ,229-230,54-55,64-257, , , , ,278, , 
592,0, ,229-230-248,54-55,61-66-67, , ,84,110, , , 
682,208, ,316-237,54-55,64-257, , , , ,278, , 
684, , ,229-319,54-55, , , ,84, ,127, , 
574,209, , ,53-55,259, , ,84, , ,84, 
617, , ,229-230-322,54-55,60-257, , ,84,110, , , 
626,0,216,229-230-248,54-55,257, , ,84, ,127, , 
641, ,217,230-237-52,54-55,60-61, , , ,273, ,128, 
655,208, , ,53-55,66, , ,84, , ,84, 
605,0, ,229-248,55,257, , ,84, , ,84, 
601,0, ,237-52,54-55, , , , , ,127, , 
653, , ,228-237,54-55,257, , , , ,278, , 
630,0, ,318,55, , ,78, , ,278, , 
654,0, ,229-248-318,54-55,67, , ,84, ,278, , 
598,0, , ,53-55,67, , , , ,278, , 
107, , ,52,54, , ,78, , ,127, , 
590, , ,228-229-322,54-55, , , ,84, ,127, , 
677, ,312,237,54-55,65-67, , , ,273, , , 
674,,,,,,,,,,,,
616, , ,233-237,55, , ,77, ,273, ,84, 
633,0, ,237-247,55,257, , ,84, ,278, , 
483, ,15,237-319-52,54-55,66, , ,84, , ,128, 
679, , ,314-237,54-55,65, , , , ,278, , 
638,,,,,,,,,,,,
422,208, ,228-229,55, , , , ,275, ,84, 
663, , ,237,55, , ,77, , ,127, , 
657,0, ,229,55, , , ,84, ,278, , 
